,Date,Open,High,Low,Close,Adj Close,Volume
20229,2008-07-24,1283.219971,1283.219971,1251.47998,1252.540039,1252.540039,6127980000
20230,2008-07-25,1253.51001,1263.22998,1251.75,1257.76001,1257.76001,4672560000
20231,2008-07-28,1257.76001,1260.089966,1234.369995,1234.369995,1234.369995,4282960000
20232,2008-07-29,1236.380005,1263.199951,1236.380005,1263.199951,1263.199951,5414240000
20233,2008-07-30,1264.52002,1284.329956,1264.52002,1284.26001,1284.26001,5631330000
20234,2008-07-31,1281.369995,1284.930054,1265.969971,1267.380005,1267.380005,5346050000
20235,2008-08-01,1269.420044,1270.52002,1254.540039,1260.310059,1260.310059,4684870000
20236,2008-08-04,1253.27002,1260.48999,1247.449951,1249.01001,1249.01001,4562280000
20237,2008-08-05,1254.869995,1284.880005,1254.670044,1284.880005,1284.880005,1219310000
20238,2008-08-06,1283.98999,1291.670044,1276.0,1289.189941,1289.189941,4873420000
20239,2008-08-07,1286.51001,1286.51001,1264.290039,1266.069946,1266.069946,5319380000
20240,2008-08-08,1266.290039,1297.849976,1262.109985,1296.319946,1296.319946,4966810000
20241,2008-08-11,1294.420044,1313.150024,1291.410034,1305.319946,1305.319946,5067310000
20242,2008-08-12,1304.790039,1304.790039,1285.640015,1289.589966,1289.589966,4711290000
20243,2008-08-13,1288.640015,1294.030029,1274.859985,1285.829956,1285.829956,4787600000
20244,2008-08-14,1282.109985,1300.109985,1276.839966,1292.930054,1292.930054,4064000000
20245,2008-08-15,1293.849976,1302.050049,1290.73999,1298.199951,1298.199951,4041820000
20246,2008-08-18,1298.140015,1300.219971,1274.51001,1278.599976,1278.599976,3829290000
20247,2008-08-19,1276.650024,1276.650024,1263.109985,1266.689941,1266.689941,4159760000
20248,2008-08-20,1267.339966,1276.01001,1261.160034,1274.540039,1274.540039,4555030000
20249,2008-08-21,1271.069946,1281.400024,1265.219971,1277.719971,1277.719971,4032590000
20250,2008-08-22,1277.589966,1293.089966,1277.589966,1292.199951,1292.199951,3741070000
20251,2008-08-25,1290.469971,1290.469971,1264.869995,1266.839966,1266.839966,3420600000
20252,2008-08-26,1267.030029,1275.650024,1263.209961,1271.51001,1271.51001,3587570000
20253,2008-08-27,1271.290039,1285.050049,1270.030029,1281.660034,1281.660034,3499610000
20254,2008-08-28,1283.790039,1300.680054,1283.790039,1300.680054,1300.680054,3854280000
20255,2008-08-29,1296.48999,1297.589966,1282.73999,1282.829956,1282.829956,3288120000
20256,2008-09-02,1287.829956,1303.040039,1272.199951,1277.579956,1277.579956,4783560000
20257,2008-09-03,1276.609985,1280.599976,1265.589966,1274.97998,1274.97998,5056980000
20258,2008-09-04,1271.800049,1271.800049,1232.829956,1236.829956,1236.829956,5212500000
20259,2008-09-05,1233.209961,1244.939941,1217.22998,1242.310059,1242.310059,5017080000
20260,2008-09-08,1249.5,1274.420044,1247.119995,1267.790039,1267.790039,7351340000
20261,2008-09-09,1267.97998,1268.660034,1224.51001,1224.51001,1224.51001,7380630000
20262,2008-09-10,1227.5,1243.900024,1221.599976,1232.040039,1232.040039,6543440000
20263,2008-09-11,1229.040039,1249.97998,1211.540039,1249.050049,1249.050049,6869250000
20264,2008-09-12,1245.880005,1255.089966,1233.810059,1251.699951,1251.699951,6273260000
20265,2008-09-15,1250.920044,1250.920044,1192.699951,1192.699951,1192.699951,8279510000
20266,2008-09-16,1188.310059,1214.839966,1169.280029,1213.599976,1213.599976,9459830000
20267,2008-09-17,1210.339966,1210.339966,1155.880005,1156.390015,1156.390015,9431870000
20268,2008-09-18,1157.079956,1211.140015,1133.5,1206.51001,1206.51001,10082690000
20269,2008-09-19,1213.109985,1265.119995,1213.109985,1255.079956,1255.079956,9387170000
20270,2008-09-22,1255.369995,1255.369995,1205.609985,1207.089966,1207.089966,5368130000
20271,2008-09-23,1207.609985,1221.150024,1187.060059,1188.219971,1188.219971,5185730000
20272,2008-09-24,1188.790039,1197.410034,1179.790039,1185.869995,1185.869995,4820360000
20273,2008-09-25,1187.869995,1220.030029,1187.869995,1209.180054,1209.180054,5877640000
20274,2008-09-26,1204.469971,1215.77002,1187.540039,1213.27002,1213.27002,5383610000
20275,2008-09-29,1209.069946,1209.069946,1106.420044,1106.420044,1106.420044,7305060000
20276,2008-09-30,1113.780029,1168.030029,1113.780029,1166.359985,1166.359985,4937680000
20277,2008-10-01,1164.170044,1167.030029,1140.77002,1161.060059,1161.060059,5782130000
20278,2008-10-02,1160.640015,1160.640015,1111.430054,1114.280029,1114.280029,6285640000
20279,2008-10-03,1115.160034,1153.819946,1098.140015,1099.22998,1099.22998,6716120000
20280,2008-10-06,1097.560059,1097.560059,1007.969971,1056.890015,1056.890015,7956020000
20281,2008-10-07,1057.599976,1072.910034,996.22998,996.22998,996.22998,7069210000
20282,2008-10-08,988.909973,1021.059998,970.969971,984.940002,984.940002,8716330000
20283,2008-10-09,988.419983,1005.25,909.190002,909.919983,909.919983,6819000000
20284,2008-10-10,902.309998,936.359985,839.799988,899.219971,899.219971,11456230000
20285,2008-10-13,912.75,1006.929993,912.75,1003.349976,1003.349976,7263370000
20286,2008-10-14,1009.969971,1044.310059,972.070007,998.01001,998.01001,8161990000
20287,2008-10-15,994.599976,994.599976,903.98999,907.840027,907.840027,6542330000
20288,2008-10-16,909.530029,947.710022,865.830017,946.429993,946.429993,7984500000
20289,2008-10-17,942.289978,984.640015,918.73999,940.549988,940.549988,6581780000
20290,2008-10-20,943.51001,985.400024,943.51001,985.400024,985.400024,5175640000
20291,2008-10-21,980.400024,985.440002,952.469971,955.049988,955.049988,5121830000
20292,2008-10-22,951.669983,951.669983,875.809998,896.780029,896.780029,6147980000
20293,2008-10-23,899.080017,922.830017,858.440002,908.109985,908.109985,7189900000
20294,2008-10-24,895.219971,896.299988,852.849976,876.77002,876.77002,6550050000
20295,2008-10-27,874.280029,893.780029,846.75,848.919983,848.919983,5558050000
20296,2008-10-28,848.919983,940.51001,845.27002,940.51001,940.51001,7096950000
20297,2008-10-29,939.51001,969.969971,922.26001,930.090027,930.090027,7077800000
20298,2008-10-30,939.380005,963.22998,928.5,954.090027,954.090027,6175830000
20299,2008-10-31,953.109985,984.380005,944.590027,968.75,968.75,6394350000
20300,2008-11-03,968.669983,975.570007,958.820007,966.299988,966.299988,4492280000
20301,2008-11-04,971.309998,1007.51001,971.309998,1005.75,1005.75,5531290000
20302,2008-11-05,1001.840027,1001.840027,949.859985,952.77002,952.77002,5426640000
20303,2008-11-06,952.400024,952.400024,899.72998,904.880005,904.880005,6102230000
20304,2008-11-07,907.440002,931.460022,906.900024,930.98999,930.98999,4931640000
20305,2008-11-10,936.75,951.950012,907.469971,919.210022,919.210022,4572000000
20306,2008-11-11,917.150024,917.150024,884.900024,898.950012,898.950012,4998340000
20307,2008-11-12,893.390015,893.390015,850.47998,852.299988,852.299988,5764180000
20308,2008-11-13,853.130005,913.01001,818.690002,911.289978,911.289978,7849120000
20309,2008-11-14,904.359985,916.880005,869.880005,873.289978,873.289978,5881030000
20310,2008-11-17,873.22998,882.289978,848.97998,850.75,850.75,4927490000
20311,2008-11-18,852.340027,865.900024,826.840027,859.119995,859.119995,6679470000
20312,2008-11-19,859.030029,864.570007,806.179993,806.580017,806.580017,6548600000
20313,2008-11-20,805.869995,820.52002,747.780029,752.440002,752.440002,9093740000
20314,2008-11-21,755.840027,801.200012,741.02002,800.030029,800.030029,9495900000
20315,2008-11-24,801.200012,865.599976,801.200012,851.809998,851.809998,7879440000
20316,2008-11-25,853.400024,868.940002,834.98999,857.390015,857.390015,6952700000
20317,2008-11-26,852.900024,887.679993,841.369995,887.679993,887.679993,5793260000
20318,2008-11-28,886.890015,896.25,881.210022,896.23999,896.23999,2740860000
20319,2008-12-01,888.609985,888.609985,815.690002,816.210022,816.210022,6052010000
20320,2008-12-02,817.940002,850.539978,817.940002,848.809998,848.809998,6170100000
20321,2008-12-03,843.599976,873.119995,827.599976,870.73999,870.73999,6221880000
20322,2008-12-04,869.75,875.599976,833.599976,845.219971,845.219971,5860390000
20323,2008-12-05,844.429993,879.419983,818.409973,876.070007,876.070007,6165370000
20324,2008-12-08,882.710022,918.570007,882.710022,909.700012,909.700012,6553600000
20325,2008-12-09,906.47998,916.26001,885.380005,888.669983,888.669983,5693110000
20326,2008-12-10,892.169983,908.27002,885.450012,899.23999,899.23999,5942130000
20327,2008-12-11,898.349976,904.630005,868.72998,873.590027,873.590027,5513840000
20328,2008-12-12,871.789978,883.23999,851.349976,879.72998,879.72998,5959590000
20329,2008-12-15,881.070007,884.630005,857.719971,868.570007,868.570007,4982390000
20330,2008-12-16,871.530029,914.659973,871.530029,913.179993,913.179993,6009780000
20331,2008-12-17,908.159973,918.849976,895.940002,904.419983,904.419983,5907380000
20332,2008-12-18,905.97998,911.02002,877.440002,885.280029,885.280029,5675000000
20333,2008-12-19,886.960022,905.469971,883.02002,887.880005,887.880005,6705310000
20334,2008-12-22,887.200012,887.369995,857.090027,871.630005,871.630005,4869850000
20335,2008-12-23,874.309998,880.440002,860.099976,863.159973,863.159973,4051970000
20336,2008-12-24,863.869995,869.789978,861.440002,868.150024,868.150024,1546550000
20337,2008-12-26,869.51001,873.73999,866.52002,872.799988,872.799988,1880050000
20338,2008-12-29,872.369995,873.700012,857.070007,869.419983,869.419983,3323430000
20339,2008-12-30,870.580017,891.119995,870.580017,890.640015,890.640015,3627800000
20340,2008-12-31,890.590027,910.320007,889.669983,903.25,903.25,4172940000
20341,2009-01-02,902.98999,934.72998,899.349976,931.799988,931.799988,4048270000
20342,2009-01-05,929.169983,936.630005,919.530029,927.450012,927.450012,5413910000
20343,2009-01-06,931.169983,943.849976,927.280029,934.700012,934.700012,5392620000
20344,2009-01-07,927.450012,927.450012,902.369995,906.650024,906.650024,4704940000
20345,2009-01-08,905.72998,910.0,896.809998,909.72998,909.72998,4991550000
20346,2009-01-09,909.909973,911.929993,888.309998,890.349976,890.349976,4716500000
20347,2009-01-12,890.400024,890.400024,864.320007,870.26001,870.26001,4725050000
20348,2009-01-13,869.789978,877.02002,862.02002,871.789978,871.789978,5567460000
20349,2009-01-14,867.280029,867.280029,836.929993,842.619995,842.619995,5407880000
20350,2009-01-15,841.98999,851.590027,817.039978,843.73999,843.73999,7807350000
20351,2009-01-16,844.450012,858.130005,830.659973,850.119995,850.119995,6786040000
20352,2009-01-20,849.640015,849.640015,804.469971,805.219971,805.219971,6375230000
20353,2009-01-21,806.77002,841.719971,804.299988,840.23999,840.23999,6467830000
20354,2009-01-22,839.73999,839.73999,811.289978,827.5,827.5,5843830000
20355,2009-01-23,822.159973,838.609985,806.070007,831.950012,831.950012,5832160000
20356,2009-01-26,832.5,852.530029,827.690002,836.570007,836.570007,6039940000
20357,2009-01-27,837.299988,850.450012,835.400024,845.710022,845.710022,5353260000
20358,2009-01-28,845.72998,877.859985,845.72998,874.090027,874.090027,6199180000
20359,2009-01-29,868.890015,868.890015,844.150024,845.140015,845.140015,5067060000
20360,2009-01-30,845.690002,851.659973,821.669983,825.880005,825.880005,5350580000
20361,2009-02-02,823.090027,830.780029,812.869995,825.440002,825.440002,5673270000
20362,2009-02-03,825.690002,842.599976,821.97998,838.51001,838.51001,5886310000
20363,2009-02-04,837.77002,851.849976,829.179993,832.22998,832.22998,6420450000
20364,2009-02-05,831.75,850.549988,819.909973,845.849976,845.849976,6624030000
20365,2009-02-06,846.090027,870.75,845.419983,868.599976,868.599976,6484100000
20366,2009-02-09,868.23999,875.01001,861.650024,869.890015,869.890015,5574370000
20367,2009-02-10,866.869995,868.049988,822.98999,827.159973,827.159973,6770170000
20368,2009-02-11,827.409973,838.219971,822.299988,833.73999,833.73999,5926460000
20369,2009-02-12,829.909973,835.47998,808.059998,835.190002,835.190002,6476460000
20370,2009-02-13,833.950012,839.429993,825.210022,826.840027,826.840027,5296650000
20371,2009-02-17,818.609985,818.609985,789.169983,789.169983,789.169983,5907820000
20372,2009-02-18,791.059998,796.169983,780.429993,788.419983,788.419983,5740710000
20373,2009-02-19,787.909973,797.580017,777.030029,778.940002,778.940002,5746940000
20374,2009-02-20,775.869995,778.690002,754.25,770.049988,770.049988,8210590000
20375,2009-02-23,773.25,777.849976,742.369995,743.330017,743.330017,6509300000
