Date,Open,High,Low,Close,Adj Close,Volume
2023-10-09,2846.899902,2863.100098,2834.100098,2858.699951,2858.699951,0
2023-10-10,2863.300049,2902.399902,2863.199951,2887.899902,2887.899902,0
2023-10-11,2889.199951,2901.399902,2882.100098,2899.500000,2899.500000,0
2023-10-12,2899.600098,2907.199951,2870.699951,2884.100098,2884.100098,0
2023-10-13,2882.300049,2890.899902,2855.399902,2862.100098,2862.100098,0
2023-10-15,null,null,null,null,null,null
2023-10-16,2863.100098,2890.500000,2858.399902,2885.399902,2885.399902,0
2023-10-17,2886.100098,2899.500000,2867.600098,2888.600098,2888.600098,0
2023-10-18,2888.600098,2890.300049,2846.399902,2851.899902,2851.899902,0
2023-10-19,2851.199951,2856.300049,2821.699951,2824.500000,2824.500000,0
2023-10-20,2825.199951,2825.199951,2790.800049,2791.199951,2791.199951,0
2023-10-22,null,null,null,null,null,null
2023-10-23,2791.000000,2806.899902,2768.399902,2786.800049,2786.800049,0
2023-10-24,2788.699951,2809.000000,2785.500000,2802.000000,2802.000000,0
2023-10-25,2801.699951,2805.100098,2768.300049,2772.100098,2772.100098,0
2023-10-26,2768.899902,2769.300049,2735.899902,2741.000000,2741.000000,0
2023-10-27,2741.600098,2755.000000,2724.899902,2732.000000,2732.000000,0
2023-10-29,null,null,null,null,null,null
2023-10-30,2731.000000,2762.800049,2727.899902,2757.600098,2757.600098,0
2023-10-31,2758.300049,2770.300049,2750.000000,2768.600098,2768.600098,0
2023-11-01,2769.300049,2801.800049,2769.199951,2797.500000,2797.500000,0
2023-11-02,2800.500000,2854.300049,2800.399902,2852.600098,2852.600098,0
2023-11-03,2853.300049,2891.399902,2853.300049,2883.800049,2883.800049,0
2023-11-05,null,null,null,null,null,null
2023-11-06,2885.100098,2894.000000,2879.300049,2889.399902,2889.399902,0
2023-11-07,2887.600098,2892.000000,2874.899902,2887.399902,2887.399902,0
2023-11-08,2888.000000,2894.899902,2878.100098,2888.399902,2888.399902,0
2023-11-09,2888.199951,2900.899902,2873.500000,2879.000000,2879.000000,0
2023-11-10,2875.300049,2902.899902,2868.600098,2900.800049,2900.800049,0
2023-11-12,null,null,null,null,null,null
2023-11-13,2902.000000,2910.199951,2892.199951,2904.600098,2904.600098,0
2023-11-14,2906.699951,2972.800049,2905.800049,2963.399902,2963.399902,0
2023-11-15,2966.500000,2985.100098,2966.500000,2975.199951,2975.199951,0
2023-11-16,2973.699951,2976.699951,2962.000000,2973.000000,2973.000000,0
2023-11-17,2971.399902,2988.600098,2970.500000,2985.199951,2985.199951,0
2023-11-19,null,null,null,null,null,null
2023-11-20,2985.600098,3010.100098,2985.399902,3004.899902,3004.899902,0
2023-11-21,3005.300049,3008.199951,2994.800049,2999.899902,2999.899902,0
2023-11-22,2998.300049,3012.100098,2996.899902,3004.800049,3004.800049,0
2023-11-23,3006.500000,3009.800049,3006.300049,3008.699951,3008.699951,0
2023-11-24,3008.600098,3015.500000,3008.500000,3015.199951,3015.199951,0
2023-11-26,null,null,null,null,null,null
2023-11-27,3014.899902,3015.699951,3007.000000,3008.000000,3008.000000,0
2023-11-28,3011.000000,3020.500000,3002.699951,3012.600098,3012.600098,0
2023-11-29,3014.000000,3030.699951,3011.699951,3013.899902,3013.899902,0
2023-11-30,3014.199951,3023.600098,3006.899902,3023.600098,3023.600098,0
2023-12-01,3022.100098,3046.000000,3016.800049,3040.699951,3040.699951,0
2023-12-03,null,null,null,null,null,null
2023-12-04,3045.199951,3045.500000,3015.300049,3026.600098,3026.600098,0
2023-12-05,3027.399902,3029.399902,3014.399902,3023.199951,3023.199951,0
2023-12-06,3023.300049,3041.399902,3017.699951,3021.000000,3021.000000,0
2023-12-07,3019.199951,3041.899902,3015.800049,3037.500000,3037.500000,0
2023-12-08,3036.100098,3050.399902,3030.000000,3047.199951,3047.199951,0
2023-12-10,null,null,null,null,null,null
2023-12-11,3046.300049,3057.899902,3042.600098,3056.399902,3056.399902,0
2023-12-12,3058.600098,3068.500000,3048.699951,3067.399902,3067.399902,0
